ENTIDADE,DATA,SURFACTANTES,PH,FÓSFORO,ALUMÍNIO,ARSÊNIO,BÁRIO,BORO,CÁDMIO,CHUMBO,CIANETO,COBALTO,COBRE,CROMO,CROMO_HEXAVALENTE,DBO,DQO,ESTANHO,FERRO,FLUORETO,LÍTIO,MANGANÊS,MERCÚRIO,MOLIBDÊNIO,NÍQUEL,NITROGÊNIO_AMONIACAL,NITROGÊNIO_KJELDAHL,COLIFORMES_TERMOTOLERANTES,PRATA,ÍNDICE_DE_FENÓIS,NITROGÊNIO,FENOL,ALCALINIDADE,UMIDADE,PORCENTAGEM_SÓLIDOS,COMPOSTOS,COR_VERDADEIRA,SÓLIDOS,ÓLEOS,ACIDEZ
P1,2019-04-09,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-05-07,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-06-11,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-07-09,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-08-13,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-09-10,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-10-08,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-11-12,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-12-10,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-01-09,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-02-14,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-03-06,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-04-03,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-05-08,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-06-05,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-07-03,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-08-07,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-09-04,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-10-02,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-12-04,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-01-08,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-02-05,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-03-06,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-04-02,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-05-07,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-06-04,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-08-06,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-09-03,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-10-01,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-11-05,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-12-04,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-01-07,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-02-04,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-03-06,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-04-01,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-05-06,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-06-03,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-07-01,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-08-05,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-09-03,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-10-08,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-11-04,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-12-02,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-01-06,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-02-05,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-03-02,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-04-06,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-05-04,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-06-01,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-07-06,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-08-03,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-09-08,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-10-05,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-11-03,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-12-07,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-01-04,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-02-01,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-03-01,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-04-05,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-05-03,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-06-07,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-07-07,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-08-02,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-09-06,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-10-04,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-11-01,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-12-06,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-01-24,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-02-15,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-03-07,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-04-04,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-05-02,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-06-06,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-07-04,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-08-01,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-09-05,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-10-03,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-11-07,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-12-05,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-01-02,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-02-06,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-03-08,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-04-03,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-05-03,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-06-05,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-07-03,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-08-07,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-09-04,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-10-02,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-11-06,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-12-04,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-01-22,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-02-05,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-03-12,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-05-14,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-06-11,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-07-09,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-08-13,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-09-10,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-10-08,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2013-12-10,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-01-14,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-02-05,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-03-11,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-04-08,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-05-13,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-06-10,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-08-12,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-09-09,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-10-07,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-11-11,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2014-12-09,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-01-13,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-02-10,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-03-10,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-04-07,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-05-12,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-06-10,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-07-07,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-08-12,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-09-09,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-10-07,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-11-11,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-12-09,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-01-12,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-02-11,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-03-08,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-04-12,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-05-10,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-06-07,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-07-12,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-08-09,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-09-13,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-10-11,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-11-08,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-12-13,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-01-10,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-02-07,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-03-07,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-04-11,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-05-09,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-06-13,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-07-11,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-08-08,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-09-12,,,8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-10-10,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-11-07,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-12-12,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-01-30,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-02-15,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-03-13,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-04-10,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-05-08,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-06-12,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-07-10,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-08-07,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-09-11,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-10-09,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-11-13,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2018-12-11,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-01-08,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-02-12,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-03-12,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-04-09,,,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-05-07,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-06-11,,,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-07-09,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-08-13,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-09-10,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2019-10-08,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
