ENTIDADE,DATA,SURFACTANTES,PH,FÓSFORO,ALUMÍNIO,ARSÊNIO,BÁRIO,BORO,CÁDMIO,CHUMBO,CIANETO,COBALTO,COBRE,CROMO,CROMO_HEXAVALENTE,DBO,DQO,ESTANHO,FERRO,FLUORETO,LÍTIO,MANGANÊS,MERCÚRIO,MOLIBDÊNIO,NÍQUEL,NITROGÊNIO_AMONIACAL,NITROGÊNIO_KJELDAHL,COLIFORMES_TERMOTOLERANTES,PRATA,ÍNDICE_DE_FENÓIS,NITROGÊNIO,FENOL,ALCALINIDADE,UMIDADE,PORCENTAGEM_SÓLIDOS,COMPOSTOS,COR_VERDADEIRA,SÓLIDOS,ÓLEOS,ACIDEZ
P2,2014-12-09,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2014-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-01-13,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2015-01-13,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2015-01-13,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-02-10,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2015-02-10,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2015-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-03-10,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2015-03-10,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2015-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-04-07,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2015-04-07,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2015-04-07,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-05-12,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2015-05-12,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2015-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-06-09,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2015-06-09,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2015-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-07-07,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2015-07-07,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2015-07-07,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-08-11,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2015-08-11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2015-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-09-09,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2015-09-09,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2015-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-10-01,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2015-10-01,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2015-10-01,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-11-05,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2015-11-05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2015-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2015-12-04,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2015-12-04,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2015-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-01-12,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2016-01-12,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2016-01-12,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-02-11,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2016-02-11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2016-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-03-08,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2016-03-08,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2016-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-04-12,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2016-04-12,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2016-04-12,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-05-10,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2016-05-10,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-06-07,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2016-06-07,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2016-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-07-12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2016-07-12,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2016-07-12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-08-09,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2016-08-09,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-09-13,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2016-09-13,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-10-11,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2016-10-11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2016-10-11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-11-08,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2016-11-08,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2016-12-13,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2016-12-13,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2016-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-01-10,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2017-01-10,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2017-01-10,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-02-07,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2017-02-07,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-03-07,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2017-03-07,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-04-11,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2017-04-11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2017-04-11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-05-09,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2017-05-09,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-06-13,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2017-06-13,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-07-11,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2017-07-11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2017-07-11,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-08-08,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2017-08-08,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-09-12,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2017-09-12,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-10-10,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2017-10-10,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,2017-11-07,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2017-11-07,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
