PARÂMETROS,Data,Alumínio Total,Arsênio Total,Bário Total,Boro Total,Cádmio Total,Chumbo Total,Cianeto Total,Cobalto Total,Cobre Total,Cromo Total,Cromo Hexavalente,DBO,DQO,Estanho Total,Fenóis Total,Ferro Total,Fósforo Total,Fluoreto,Lítio Total,Manganês Total,Mercúrio,Molibdênio Total,Níquel Total,Nitrogênio Amoniacal,Nitrogênio Total Kjeldahl,Coliformes Termotolerantes,Prata Total,Mercúrio Total,Cianeto,Índice de Fenóis,Nitrogênio Total,Fenol
P1,2015-07-01,380.0,<10,50.0,50,<1,<10,,<10,<5,<10,"<0,01",96,200,<10,,4710.0,4.37,0.27,<10,230.0,,<10,<10,24.0,24.3,,<10,"<0,075",<50,"<0,02",24.3,
P2/P6,2015-07-01,90.0,<10,40.0,70,<1,<10,,<10,5,<10,"<0,01",36,75,<10,,609.0,6.44,0.64,<10,165.0,,<10,<10,66.3,71.5,,<10,"<0,075",<50,"<0,02",71.5,
P1,2015-10-01,2570.0,<10,90.0,50,<1,10,,<10,55,<10,"<0,001",624,1250,<10,,6670.0,6.82,0.3,<10,180.0,,<10,<10,28.9,33.6,,<10,"<0,075","<0,05","<0,02",33.6,
P2/P6,2015-10-01,70.0,<10,40.0,30,<1,<10,,<10,<5,<10,"<0,01",27.6,70,<10,,530.0,5.25,0.4,<10,180.0,,<10,<10,66.2,75.6,,<10,"<0,075","<0,05","<0,02",75.6,
P1,2016-01-01,1.18,"<0,010",0.05,"<0,050","<0,004","<0,006",,"<0,010",0.035,"<0,009","<0,0005",50.0,140.0,"<0,050",,2.84,1.31,0.523,"<0,090",0.11800000000000001,,"<0,010","<0,010",10.0,15.0,,,"<0,0001","<0,005",,,"<0,003"
P2/P6,2016-01-01,0.16,"<0,010",0.046,"<0,050","<0,004",0.055,,"<0,010",0.029,"<0,009","<0,0005",12.2,30.0,"<0,050",,0.9640000000000001,3.76,0.925,"<0,090",0.055999999999999994,,"<0,010","<0,010",20.0,20.0,,,"<0,0001","<0,005",,,"<0,003"
P1,2016-04-01,0.44299999999999995,"<0,010",0.034,"<0,050","<0,004",0.006,,"<0,010",0.03,"<0,009","<0,0005",150.0,404.0,"<0,050",,2.86,7.15,0.386,"<0,090",0.141,,"<0,010","<0,010",45.0,65.0,,,"<0,0001","<0,005",,,"<0,01"
P2/P6,2016-04-01,0.22699999999999998,"<0,010",0.016,"<0,050","<0,004","<0,006",,"<0,010",0.019,"<0,009","<0,0005",24.0,61.0,"<0,050",,1.07,7.11,0.656,"<0,090",0.11,,"<0,010","<0,010",40.0,40.0,,,"<0,0001","<0,005",,,"<0,01"
P1,2016-07-01,0.377,0.01,0.031,0.05,0.004,0.006,,0.01,0.05,0.009,0.0005,142.0,385.0,0.05,,3.55,3.7,"<0,05",0.09,0.196,,"<0,010","<0,010",30.0,45.0,,,"<0,0001","<0,005",,,"<0,003"
P2/P6,2016-07-01,0.8370000000000001,"<0,010",0.028999999999999998,"<0,050","<0,004","<0,006",,"<0,010","<0,0050","<0,009","<0,005",40.0,109.0,"<0,050",,1.89,3.78,0.678,"<0,090",0.175,,"<0,010","<0,010",30.0,35.0,,,"<0,0001","<0,005",,,"<0,003"
P1,2016-10-01,1.1,"<0,010",0.054000000000000006,0.297,"<0,004","<0,006",,"<0,010","<0,0050","<0,009","<0,0005",124.0,337.0,"<0,050",,3.84,7.44,"<0,05","<0,090",0.203,,"<0,010","<0,010",53.9,55.3,,,"<1,0","<0,005",,,"<0,1"
P2/P6,2016-10-01,0.519,"<0,010",0.036000000000000004,"<0,050","<0,004","<0,006",,"<0,010","<0,0050","<0,009","<0,0005",34.5,93.7,"<0,050",,1.68,5.05,0.661,"<0,090",0.192,,"<0,010","<0,010",24.6,38.1,,,"<1,0","<0,005",,,"<0,1"
P1,2016-01-01,1.18,"<0,010",0.05,"<0,050","<0,004","<0,006",,"<0,010",0.035,"<0,009","<0,0005",50.0,140.0,"<0,050",,2.84,1.31,0.523,"<0,090",0.11800000000000001,,"<0,010","<0,010",10.0,15.0,,,"<0,0001","<0,005",,,"<0,003"
P2/P6,2016-01-01,0.16,"<0,010",0.046,"<0,050","<0,004",0.055,,"<0,010",0.029,"<0,009","<0,0005",12.2,30.0,"<0,050",,0.9640000000000001,3.76,0.925,"<0,090",0.055999999999999994,,"<0,010","<0,010",20.0,20.0,,,"<0,0001","<0,005",,,"<0,003"
