DATA DA COLETA,P1 - Entrada ETE,P2/P6- Saída da ETE ,P1 - Média mês,P2/P6 - Média mês,ANAL. AMB.,OBSERVAÇÕES,P7 - Rede Pluvial (trimestral),Ponto de coleta Saída (P2 ou P6)
2014-09-30,53.1,61.0,nan,nan,x,nan,nan,nan
2014-10-01,42.4,54.5,45.125,41.46,x,nan,nan,nan
2014-10-07,51.9,38.7,nan,nan,x,nan,nan,nan
2014-10-14,41.6,28.7,nan,nan,x,nan,nan,nan
2014-10-21,44.6,32.7,nan,nan,x,nan,nan,nan
2014-10-28,52.1,52.7,nan,nan,x,nan,nan,nan
2014-11-05,34.5,45.7,39.175,41.575,x,nan,nan,nan
2014-11-11,45.2,52.3,nan,nan,x,nan,nan,nan
2014-10-18,63.2,54.1,nan,nan,x,nan,nan,nan
2014-11-25,13.8,14.2,nan,nan,x,nan,nan,nan
2014-12-04,15.6,12.4,15.566666666666668,8.466666666666667,x,nan,nan,nan
2014-12-09,17.6,6.8,nan,nan,x,nan,nan,nan
2014-12-16,13.5,6.2,nan,nan,x,nan,nan,nan
2015-01-07,12.7,5.5,10.1,3.375,x,Efluente com baixa vazão devido ao período de férias escolares,31.9,nan
2015-01-13,7.5,1.6,nan,nan,x,nan,nan,nan
2015-01-20,8.5,3.9,nan,nan,x,nan,nan,nan
2015-01-27,13.2,2.5,nan,nan,x,nan,nan,nan
2015-02-04,14.9,5.5,11.95,6.4,x,Efluente com baixa vazão devido ao período de férias escolares,nan,nan
2015-02-10,8.9,5.9,nan,nan,x,nan,nan,nan
2015-02-18,11.6,1.6,nan,nan,x,nan,nan,nan
2015-02-24,12.4,12.6,nan,nan,x,nan,nan,nan
2015-03-06,13.2,19.2,17.7,16.95,x,A coleta nestes dias foi realizada no P6,nan,nan
2015-03-10,14.3,13.6,nan,nan,x,nan,nan,nan
2015-03-17,22.0,22.2,nan,nan,x,nan,nan,nan
2015-03-24,21.3,12.8,nan,nan,x,nan,nan,nan
2015-04-01,17.2,26.2,20.08,16.92,x,A coleta nestes dias foi realizada no P6,15.4,nan
2015-04-07,11.2,14.6,nan,nan,x,nan,nan,nan
2015-04-14,24.5,24.1,nan,nan,x,nan,nan,nan
2015-04-22,21.7,5.8,nan,nan,x,nan,nan,nan
2015-04-28,25.8,13.9,nan,nan,x,nan,nan,nan
2015-05-06,16.2,18.9,18.85,14.224999999999998,x,nan,nan,nan
2015-05-12,18.3,10.9,nan,nan,x,nan,nan,nan
2015-05-19,17.3,14.9,nan,nan,x,nan,nan,nan
2015-05-26,23.6,12.2,nan,nan,x,nan,nan,nan
2015-06-05,39.2,16.8,30.600000000000005,14.325,x,nan,nan,nan
2015-06-12,30.1,14.7,nan,nan,x,nan,nan,nan
2015-06-18,35.9,15.1,nan,nan,x,nan,nan,nan
2015-06-23,22.5,10.7,nan,nan,x,nan,nan,nan
2015-07-01,12.5,11.0,11.25,8.55,x,nan,9.1,nan
2015-07-07,17.5,10.3,nan,nan,x,nan,nan,nan
2015-07-14,7.5,7.5,nan,nan,x,nan,nan,nan
2015-07-21,7.5,5.4,nan,nan,x,nan,nan,nan
2015-07-28,22.5,20.2,nan,nan,x,nan,nan,nan
2015-08-05,32.1,18.4,40.66,17.56,x,nan,nan,nan
2015-08-11,48.0,17.1,nan,nan,x,nan,nan,nan
2015-08-18,28.9,15.3,nan,nan,x,nan,nan,nan
