PARÂMETROS,Data,Alumínio Total,Arsênio Total,Bário Total,Boro Total,Cádmio Total,Chumbo Total,Cianeto Total,Cobalto Total,Cobre Total,Cromo Total,Cromo Hexavalente,DBO,DQO,Estanho Total,Fenóis Total,Ferro Total,Fósforo Total,Fluoreto,Lítio Total,Manganês Total,Mercúrio,Molibdênio Total,Níquel Total,Nitrogênio Amoniacal,Nitrogênio Total Kjeldahl,Coliformes Termotolerantes,Prata Total,Mercúrio Total,Cianeto,Índice de Fenóis,Nitrogênio Total,Fenol
P1,2015-01-01,360.0,10,80.0,60.0,1,10,nan,10,5,10,0.01,2,5,10,nan,5800.0,1,0.4,10,350.0,nan,10,10,7.7,13.0,nan,10,0.05,50,0.045,13.0,nan
P2/P6,2015-01-01,90.0,10,40.0,80.0,1,10,nan,10,15,10,0.01,2,5,10,nan,1060.0,1,0.9,10,80.0,nan,10,10,17.0,25.0,nan,10,0.010,50,0.02,32.0,nan
P1,2015-04-01,240.0,10,30.0,20.0,1,10,nan,10,15,10,0.01,164,335,10,nan,2210.0,4.2,1.28,10,120.0,nan,10,10,25.8,32.0,nan,10,0.075,50,0.02,32.5,nan
P2/P6,2015-04-01,60.0,10,40.0,20.0,1,10,nan,10,5,10,0.01,32,80,10,nan,330.0,8.6,1.5,10,180.0,nan,10,10,88.7,100.0,nan,10,0.075,50,0.02,100.0,nan
P1,2015-07-01,380.0,10,50.0,50.0,1,10,nan,10,5,10,0.01,96,200,10,nan,4710.0,4.37,0.27,10,230.0,nan,10,10,24.0,24.3,nan,10,0.075,50,0.02,24.3,nan
P2/P6,2015-07-01,90.0,10,40.0,70.0,1,10,nan,10,5,10,0.01,36,75,10,nan,609.0,6.44,0.64,10,165.0,nan,10,10,66.3,71.5,nan,10,0.075,50,0.02,71.5,nan
P1,2015-10-01,2570.0,10,90.0,50.0,1,10,nan,10,55,10,0.001,624,1250,10,nan,6670.0,6.82,0.3,10,180.0,nan,10,10,28.9,33.6,nan,10,0.075,0.05,0.02,33.6,nan
P2/P6,2015-10-01,70.0,10,40.0,30.0,1,10,nan,10,5,10,0.01,27.6,70,10,nan,530.0,5.25,0.4,10,180.0,nan,10,10,66.2,75.6,nan,10,0.075,0.05,0.02,75.6,nan
P1,2015-01-01,360.0,10,80.0,60,1,10,nan,10,5,10,0.01,2,5,10,nan,5800.0,1,0.4,10,350.0,nan,10,10,7.7,13.0,nan,10,0.05,50,0.045,13.0,nan
P2/P6,2015-01-01,90.0,10,40.0,80,1,10,nan,10,15,10,0.01,2,5,10,nan,1060.0,1,0.9,10,80.0,nan,10,10,17.0,25.0,nan,10,0.010,50,0.02,32.0,nan
P1,2015-04-01,240.0,10,30.0,20,1,10,nan,10,15,10,0.01,164,335,10,nan,2210.0,4.2,1.28,10,120.0,nan,10,10,25.8,32.0,nan,10,0.075,50,0.02,32.5,nan
P2/P6,2015-04-01,60.0,10,40.0,20,1,10,nan,10,5,10,0.01,32,80,10,nan,330.0,8.6,1.5,10,180.0,nan,10,10,88.7,100.0,nan,10,0.075,50,0.02,100.0,nan
P1,2015-07-01,380.0,10,50.0,50,1,10,nan,10,5,10,0.01,96,200,10,nan,4710.0,4.37,0.27,10,230.0,nan,10,10,24.0,24.3,nan,10,0.075,50,0.02,24.3,nan
P2/P6,2015-07-01,90.0,10,40.0,70,1,10,nan,10,5,10,0.01,36,75,10,nan,609.0,6.44,0.64,10,165.0,nan,10,10,66.3,71.5,nan,10,0.075,50,0.02,71.5,nan
P1,2015-10-01,2570.0,10,90.0,50,1,10,nan,10,55,10,0.001,624,1250,10,nan,6670.0,6.82,0.3,10,180.0,nan,10,10,28.9,33.6,nan,10,0.075,0.05,0.02,33.6,nan
P2/P6,2015-10-01,70.0,10,40.0,30,1,10,nan,10,5,10,0.01,27.6,70,10,nan,530.0,5.25,0.4,10,180.0,nan,10,10,66.2,75.6,nan,10,0.075,0.05,0.02,75.6,nan
P1,2016-01-01,1.18,0.010,0.05,0.050,0.004,0.006,nan,0.010,0.035,0.009,0.0005,50.0,140.0,0.050,nan,2.84,1.31,0.523,0.090,0.118,nan,0.010,0.010,10.0,15.0,nan,nan,0.0001,0.005,nan,nan,0.003
P2/P6,2016-01-01,0.16,0.010,0.046,0.050,0.004,0.055,nan,0.010,0.029,0.009,0.0005,12.2,30.0,0.050,nan,0.964,3.76,0.925,0.090,0.056,nan,0.010,0.010,20.0,20.0,nan,nan,0.0001,0.005,nan,nan,0.003
P1,2016-04-01,0.443,0.010,0.034,0.050,0.004,0.006,nan,0.010,0.03,0.009,0.0005,150.0,404.0,0.050,nan,2.86,7.15,0.386,0.090,0.141,nan,0.010,0.010,45.0,65.0,nan,nan,0.0001,0.005,nan,nan,0.01
P2/P6,2016-04-01,0.227,0.010,0.016,0.050,0.004,0.006,nan,0.010,0.019,0.009,0.0005,24.0,61.0,0.050,nan,1.07,7.11,0.656,0.090,0.11,nan,0.010,0.010,40.0,40.0,nan,nan,0.0001,0.005,nan,nan,0.01
P1,2016-07-01,0.377,0.01,0.031,0.05,0.004,0.006,nan,0.01,0.05,0.009,0.0005,142.0,385.0,0.05,nan,3.55,3.7,0.05,0.09,0.196,nan,0.010,0.010,30.0,45.0,nan,nan,0.0001,0.005,nan,nan,0.003
P2/P6,2016-07-01,0.8370000000000001,0.010,0.029,0.050,0.004,0.006,nan,0.010,0.0050,0.009,0.005,40.0,109.0,0.050,nan,1.89,3.78,0.678,0.090,0.175,nan,0.010,0.010,30.0,35.0,nan,nan,0.0001,0.005,nan,nan,0.003
P1,2016-10-01,1.1,0.010,0.054000000000000006,0.297,0.004,0.006,nan,0.010,0.0050,0.009,0.0005,124.0,337.0,0.050,nan,3.84,7.44,0.05,0.090,0.203,nan,0.010,0.010,53.9,55.3,nan,nan,1.0,0.005,nan,nan,0.1
P2/P6,2016-10-01,0.519,0.010,0.036000000000000004,0.050,0.004,0.006,nan,0.010,0.0050,0.009,0.0005,34.5,93.7,0.050,nan,1.68,5.05,0.661,0.090,0.192,nan,0.010,0.010,24.6,38.1,nan,nan,1.0,0.005,nan,nan,0.1
P1,2016-01-01,1.18,0.010,0.05,0.050,0.004,0.006,nan,0.010,0.035,0.009,0.0005,50.0,140.0,0.050,nan,2.84,1.31,0.523,0.090,0.118,nan,0.010,0.010,10.0,15.0,nan,nan,0.0001,0.005,nan,nan,0.003
P2/P6,2016-01-01,0.16,0.010,0.046,0.050,0.004,0.055,nan,0.010,0.029,0.009,0.0005,12.2,30.0,0.050,nan,0.964,3.76,0.925,0.090,0.056,nan,0.010,0.010,20.0,20.0,nan,nan,0.0001,0.005,nan,nan,0.003
P1,2016-04-01,0.443,0.010,0.034,0.050,0.004,0.006,nan,0.010,0.03,0.009,0.0005,150.0,404.0,0.050,nan,2.86,7.15,0.386,0.090,0.141,nan,0.010,0.010,45.0,65.0,nan,nan,0.0001,0.005,nan,nan,0.01
P2/P6,2016-04-01,0.227,0.010,0.016,0.050,0.004,0.006,nan,0.010,0.019,0.009,0.0005,24.0,61.0,0.050,nan,1.07,7.11,0.656,0.090,0.11,nan,0.010,0.010,40.0,40.0,nan,nan,0.0001,0.005,nan,nan,0.01
P1,2016-07-01,0.377,0.01,0.031,0.05,0.004,0.006,nan,0.01,0.05,0.009,0.0005,142.0,385.0,0.05,nan,3.55,3.7,0.05,0.09,0.196,nan,0.010,0.010,30.0,45.0,nan,nan,0.0001,0.005,nan,nan,0.003
P2/P6,2016-07-01,0.8370000000000001,0.010,0.029,0.050,0.004,0.006,nan,0.010,0.0050,0.009,0.005,40.0,109.0,0.050,nan,1.89,3.78,0.678,0.090,0.175,nan,0.010,0.010,30.0,35.0,nan,nan,0.0001,0.005,nan,nan,0.003
P1,2016-10-01,1.1,0.010,0.054000000000000006,0.297,0.004,0.006,nan,0.010,0.0050,0.009,0.0005,124.0,337.0,0.050,nan,3.84,7.44,0.05,0.090,0.203,nan,0.010,0.010,53.9,55.3,nan,nan,1.0,0.005,nan,nan,0.1
P2/P6,2016-10-01,0.519,0.010,0.036000000000000004,0.050,0.004,0.006,nan,0.010,0.0050,0.009,0.0005,34.5,93.7,0.050,nan,1.68,5.05,0.661,0.090,0.192,nan,0.010,0.010,24.6,38.1,nan,nan,1.0,0.005,nan,nan,0.1
P1,2017-01-01,0.468,0.01,0.052000000000000005,0.05,0.004,0.006,nan,0.01,0.05,0.009,0.0005,136.0,nan,0.05,nan,3.84,4.1,0.673,0.09,0.209,nan,0.01,0.01,21.2,36.3,nan,nan,1,0.005,nan,nan,0.04
P2/P6,2017-01-01,0.271,0.01,0.042,0.05,0.004,0.006,nan,0.01,0.045,0.009,0.0005,42.8,nan,0.05,nan,1.23,2.25,0.824,0.09,0.09,nan,0.01,0.01,11.9,14.8,nan,nan,1,0.005,nan,nan,0.04
P1,2017-04-01,1.475,0.010,0.142,0.103,0.004,0.006,nan,0.010,0.046,0.013,0.0005,140.0,nan,0.050,nan,2.474,6.33,1.488,0.090,0.181,nan,0.010,0.010,59.2,86.8,nan,nan,1.0,0.005,nan,nan,0.08
P2/P6,2017-04-01,0.7879999999999999,0.010,0.078,0.050,0.004,0.006,nan,0.010,0.021,0.009,0.0005,17.5,nan,0.050,nan,0.459,6.252999999999999,1.476,0.090,0.241,nan,0.010,0.010,51.6,57.3,nan,nan,1.0,0.005,nan,nan,0.04
P1,2017-07-01,0.552,0.010,0.11,0.07,0.004,0.006,nan,0.010,0.013,0.009,0.0005,30.0,nan,0.050,nan,4.815,1.92,0.275,0.090,0.243,nan,0.010,0.010,14.2,20.0,nan,nan,1.0,0.005,nan,nan,0.04
P2/P6,2017-07-01,0.324,0.010,0.115,0.15,0.004,0.006,nan,0.010,0.0050,0.009,0.0005,8.0,nan,0.050,nan,1.216,3.248,0.725,0.090,0.185,nan,0.010,0.010,20.4,25.4,nan,nan,1.0,0.005,nan,nan,0.04
P1,2017-10-01,1.94,0.010,0.047,0.050,0.004,0.006,nan,0.010,0.104,0.009,0.0005,40.0,nan,0.050,nan,2.76,1.18,0.05,0.090,0.127,nan,0.010,0.010,6.84,13.39,nan,nan,1.0,0.005,nan,nan,0.04
P2/P6,2017-10-01,0.24,0.01,0.054000000000000006,0.05,0.004,0.006,nan,0.01,0.106,0.009,0.0005,15.0,nan,0.05,nan,1.2,4.19,0.355,0.09,0.4,nan,0.01,0.01,14.66,17.69,nan,nan,1,0.005,nan,nan,0.04
P1,2017-01-01,0.468,0.01,0.052000000000000005,0.05,0.004,0.006,nan,0.01,0.05,0.009,0.0005,136.0,nan,0.05,nan,3.84,4.1,0.673,0.09,0.209,nan,0.01,0.01,21.2,36.3,nan,nan,1,0.005,nan,nan,0.04
P2/P6,2017-01-01,0.271,0.01,0.042,0.05,0.004,0.006,nan,0.01,0.045,0.009,0.0005,42.8,nan,0.05,nan,1.23,2.25,0.824,0.09,0.09,nan,0.01,0.01,11.9,14.8,nan,nan,1,0.005,nan,nan,0.04
P1,2017-04-01,1.475,0.010,0.142,0.103,0.004,0.006,nan,0.010,0.046,0.013,0.0005,140.0,nan,0.050,nan,2.474,6.33,1.488,0.090,0.181,nan,0.010,0.010,59.2,86.8,nan,nan,1.0,0.005,nan,nan,0.08
P2/P6,2017-04-01,0.7879999999999999,0.010,0.078,0.050,0.004,0.006,nan,0.010,0.021,0.009,0.0005,17.5,nan,0.050,nan,0.459,6.252999999999999,1.476,0.090,0.241,nan,0.010,0.010,51.6,57.3,nan,nan,1.0,0.005,nan,nan,0.04
P1,2017-07-01,0.552,0.010,0.11,0.07,0.004,0.006,nan,0.010,0.013,0.009,0.0005,30.0,nan,0.050,nan,4.815,1.92,0.275,0.090,0.243,nan,0.010,0.010,14.2,20.0,nan,nan,1.0,0.005,nan,nan,0.04
P2/P6,2017-07-01,0.324,0.010,0.115,0.15,0.004,0.006,nan,0.010,0.0050,0.009,0.0005,8.0,nan,0.050,nan,1.216,3.248,0.725,0.090,0.185,nan,0.010,0.010,20.4,25.4,nan,nan,1.0,0.005,nan,nan,0.04
P1,2017-10-01,1.94,0.010,0.047,0.050,0.004,0.006,nan,0.010,0.104,0.009,0.0005,40.0,nan,0.050,nan,2.76,1.18,0.05,0.090,0.127,nan,0.010,0.010,6.84,13.39,nan,nan,1.0,0.005,nan,nan,0.04
P2/P6,2017-10-01,0.24,0.01,0.054000000000000006,0.05,0.004,0.006,nan,0.01,0.106,0.009,0.0005,15.0,nan,0.05,nan,1.2,4.19,0.355,0.09,0.4,nan,0.01,0.01,14.66,17.69,nan,nan,1,0.005,nan,nan,0.04
P1,2018-01-01,0.411,0.01,0.045,0.05,0.004,0.006,nan,0.01,0.026,0.009000000000000001,0.02,47.5,nan,0.05,nan,4.09,2.06,0.1,0.09,0.2,nan,0.01,0.01,17.992,29.813,nan,0.01,0.1,0.05,nan,nan,0.04
P2/P6,2018-01-01,0.13,0.01,0.03,0.05,0.004,0.006,nan,0.01,0.009,0.009000000000000001,0.02,11.0,nan,0.05,nan,0.75,3.07,0.508,0.09,0.04,nan,0.1,0.1,31.745,34.999,nan,0.1,0.1,0.05,nan,nan,0.04
