ENTIDADE,DATA,NITROGÊNIO
P2,2016-11-22,44.7
P7,2016-11-22,
P1,2016-11-29,40.0
P2,2016-11-29,37.5
P7,2016-11-29,
P1,2016-12-07,31.9
P2,2016-12-07,23.6
P7,2016-12-07,
P1,2016-12-13,48.5
P2,2016-12-13,21.5
P7,2016-12-13,
P1,2016-12-20,25.8
P2,2016-12-20,16.8
P7,2016-12-20,
P1,2017-01-04,14.8
P2,2017-01-04,11.2
P7,2017-01-04,0.6
P1,2017-01-10,7.4
P2,2017-01-10,9.8
P7,2017-01-10,
P1,2017-01-17,20.3
P2,2017-01-17,6.5
P7,2017-01-17,
P1,2017-01-24,42.6
P2,2017-01-24,8.3
P7,2017-01-24,
P1,2017-02-01,8.5
P2,2017-02-01,19.2
P7,2017-02-01,
P1,2017-02-07,15.2
P2,2017-02-07,5.8
P7,2017-02-07,
P1,2017-02-14,32.4
P2,2017-02-14,6.8
P7,2017-02-14,
