ENTIDADE,DATA,DQO
P3,2017-07-07,42.1
P4,2017-07-07,544.9
P5,2017-07-07,23.4
P7,2017-07-07,430.2
P1,2017-08-02,435.2
Pb,2017-08-02,
Pc,2017-08-02,
Pd,2017-08-02,
P2,2017-08-02,114.2
P3,2017-08-02,31.4
P4,2017-08-02,669.2
P5,2017-08-02,89.9
P7,2017-08-02,
P1,2017-09-06,323.8
Pb,2017-09-06,253.0
Pc,2017-09-06,237.8
Pd,2017-09-06,93.1
P2,2017-09-06,255.4
P3,2017-09-06,216.1
P4,2017-09-06,506.0
P5,2017-09-06,75.4
P7,2017-09-06,
P1,2017-10-04,694.4
Pb,2017-10-04,38.7
Pc,2017-10-04,79.4
Pd,2017-10-04,44.6
P2,2017-10-04,45.6
P3,2017-10-04,35.2
P4,2017-10-04,545.6
P5,2017-10-04,27.3
P7,2017-10-04,23.3
P1,2017-11-01,259.0
Pb,2017-11-01,79.7
Pc,2017-11-01,37.8
Pd,2017-11-01,34.9
P2,2017-11-01,99.6
P3,2017-11-01,74.7
P4,2017-11-01,184.3
P5,2017-11-01,39.8
P7,2017-11-01,
P1,2017-12-06,328.0
Pb,2017-12-06,
Pc,2017-12-06,
Pd,2017-12-06,
P2,2017-12-06,59.6
P3,2017-12-06,22.2
P4,2017-12-06,234.3
P5,2017-12-06,40.5
P7,2017-12-06,
P1,2017-01-04,225.7
Pb,2017-01-04,50.3
Pc,2017-01-04,77.3
Pd,2017-01-04,29.5
P2,2017-01-04,87.7
P3,2017-01-04,32.1
P4,2017-01-04,325.5
P5,2017-01-04,17.8
P7,2017-01-04,6.1
P1,2017-02-01,580.5
Pb,2017-02-01,31.0
Pc,2017-02-01,24.9
Pd,2017-02-01,61.5
P2,2017-02-01,123.0
P3,2017-02-01,61.5
P4,2017-02-01,5.0
P5,2017-02-01,59.8
P7,2017-02-01,
P1,2017-03-01,238.3
Pb,2017-03-01,53.9
Pc,2017-03-01,46.6
Pd,2017-03-01,48.7
P2,2017-03-01,53.9
P3,2017-03-01,39.4
