ENTIDADE,DATA,DBO
P1,2015-06-03,331.0
Pb,2015-06-03,
Pc,2015-06-03,
Pd,2015-06-03,
P2,2015-06-03,73.0
P3,2015-06-03,17.0
P4,2015-06-03,128.0
P5,2015-06-03,9.0
P7,2015-06-03,
P1,2015-07-01,156.0
Pb,2015-07-01,
Pc,2015-07-01,
Pd,2015-07-01,
P2,2015-07-01,68.0
P3,2015-07-01,8.1
P4,2015-07-01,83.0
P5,2015-07-01,11.6
P7,2015-07-01,
P1,2015-08-05,131.0
Pb,2015-08-05,39.0
Pc,2015-08-05,8.5
Pd,2015-08-05,15.0
P2,2015-08-05,11.0
P3,2015-08-05,9.0
P4,2015-08-05,50.0
P5,2015-08-05,4.7
P7,2015-08-05,
P1,2015-09-03,224.0
Pb,2015-09-03,44.0
Pc,2015-09-03,39.0
Pd,2015-09-03,31.0
P2,2015-09-03,31.5
P3,2015-09-03,8.6
P4,2015-09-03,104.0
P5,2015-09-03,12.8
P7,2015-09-03,
P1,2015-10-08,47.0
Pb,2015-10-08,
Pc,2015-10-08,
Pd,2015-10-08,
P2,2015-10-08,22.9
P3,2015-10-08,7.6
P4,2015-10-08,11.0
P5,2015-10-08,3.0
P7,2015-10-08,10.3
P1,2015-11-04,151.0
Pb,2015-11-04,22.0
Pc,2015-11-04,16.0
Pd,2015-11-04,24.5
P2,2015-11-04,20.0
P3,2015-11-04,6.6
P4,2015-11-04,70.0
P5,2015-11-04,21.0
P7,2015-11-04,
P1,2015-12-02,204.0
Pb,2015-12-02,36.0
Pc,2015-12-02,16.0
Pd,2015-12-02,7.5
P2,2015-12-02,14.5
P3,2015-12-02,12.0
P4,2015-12-02,188.0
P5,2015-12-02,52.0
P7,2015-12-02,
P1,2016-01-06,203.0
Pb,2016-01-06,15.0
Pc,2016-01-06,13.5
Pd,2016-01-06,8.5
P2,2016-01-06,10.5
P3,2016-01-06,5.6
P4,2016-01-06,88.0
P5,2016-01-06,2.1
P7,2016-01-06,2.0
P1,2016-02-05,82.0
Pb,2016-02-05,11.8
Pc,2016-02-05,9.9
Pd,2016-02-05,9.1
P2,2016-02-05,16.0
P3,2016-02-05,5.8
P4,2016-02-05,20.0
P5,2016-02-05,4.3
P7,2016-02-05,
P1,2016-03-02,270.0
Pb,2016-03-02,33.0
Pc,2016-03-02,12.0
Pd,2016-03-02,11.0
P2,2016-03-02,20.0
P3,2016-03-02,9.5
P4,2016-03-02,120.0
P5,2016-03-02,4.9
P7,2016-03-02,
P1,2016-04-06,192.0
Pb,2016-04-06,17.6
Pc,2016-04-06,7.1
Pd,2016-04-06,6.3
P2,2016-04-06,7.0
P3,2016-04-06,9.8
P4,2016-04-06,170.0
P5,2016-04-06,6.3
P7,2016-04-06,6.0
P1,2016-05-04,256.0
Pb,2016-05-04,
Pc,2016-05-04,
Pd,2016-05-04,
P2,2016-05-04,44.0
P3,2016-05-04,10.6
P4,2016-05-04,136.0
P5,2016-05-04,7.4
P7,2016-05-04,
P1,2016-06-01,200.0
Pb,2016-06-01,51.0
Pc,2016-06-01,17.6
Pd,2016-06-01,15.6
P2,2016-06-01,35.5
P3,2016-06-01,16.4
P4,2016-06-01,196.0
P5,2016-06-01,7.7
P7,2016-06-01,
P1,2016-07-06,289.0
Pb,2016-07-06,49.0
Pc,2016-07-06,40.0
Pd,2016-07-06,23.3
P2,2016-07-06,24.5
P3,2016-07-06,15.6
P4,2016-07-06,106.0
P5,2016-07-06,20.0
P7,2016-07-06,2.0
P1,2016-08-03,148.0
Pb,2016-08-03,42.0
Pc,2016-08-03,52.0
Pd,2016-08-03,41.0
P2,2016-08-03,52.0
P3,2016-08-03,6.8
P4,2016-08-03,184.0
P5,2016-08-03,19.6
P7,2016-08-03,
P1,2016-09-08,190.0
Pb,2016-09-08,36.0
Pc,2016-09-08,50.0
Pd,2016-09-08,20.0
P2,2016-09-08,26.0
P3,2016-09-08,8.0
P4,2016-09-08,170.0
P5,2016-09-08,8.0
P7,2016-09-08,
P1,2016-10-05,140.0
Pb,2016-10-05,53.0
Pc,2016-10-05,23.0
Pd,2016-10-05,13.0
P2,2016-10-05,40.0
P3,2016-10-05,5.2
P4,2016-10-05,110.0
P5,2016-10-05,2.8
P7,2016-10-05,1.2
P1,2016-11-03,188.0
Pb,2016-11-03,37.0
Pc,2016-11-03,27.0
Pd,2016-11-03,14.0
P2,2016-11-03,33.0
P3,2016-11-03,27.2
P4,2016-11-03,550.0
P5,2016-11-03,7.2
P7,2016-11-03,
P1,2016-12-07,144.0
Pb,2016-12-07,41.0
Pc,2016-12-07,63.0
Pd,2016-12-07,27.0
P2,2016-12-07,10.0
