ENTIDADE,DATA,óleos
P2,2015-10-08,6.3
P3,2015-10-08,8.3
P4,2015-10-08,28.6
P5,2015-10-08,7.0
P7,2015-10-08,11.5
P1,2015-11-12,52.9
Pb,2015-11-12,10.0
Pc,2015-11-12,10.0
Pd,2015-11-12,17.0
P2,2015-11-12,10.0
P3,2015-11-12,10.0
P4,2015-11-12,36.5
P5,2015-11-12,10.0
P7,2015-11-12,
P1,2015-12-10,18.6
Pb,2015-12-10,0.0
Pc,2015-12-10,0.0
Pd,2015-12-10,0.0
P2,2015-12-10,10.0
P3,2015-12-10,10.0
P4,2015-12-10,19.8
P5,2015-12-10,10.0
P7,2015-12-10,
P1,2016-01-12,106.2
Pb,2016-01-12,10.6
Pc,2016-01-12,10.9
Pd,2016-01-12,12.8
P2,2016-01-12,10.0
P3,2016-01-12,21.2
P4,2016-01-12,10.0
P5,2016-01-12,10.0
P7,2016-01-12,10.0
P1,2016-02-11,12.4
Pb,2016-02-11,10.0
Pc,2016-02-11,10.0
Pd,2016-02-11,10.0
P2,2016-02-11,10.4
P3,2016-02-11,13.7
P4,2016-02-11,10.0
P5,2016-02-11,10.0
P7,2016-02-11,
P1,2016-03-08,20.6
Pb,2016-03-08,10.0
Pc,2016-03-08,10.0
Pd,2016-03-08,10.0
P2,2016-03-08,10.0
P3,2016-03-08,10.6
P4,2016-03-08,21.6
P5,2016-03-08,13.9
P7,2016-03-08,
P1,2016-04-12,28.8
Pb,2016-04-12,10.0
Pc,2016-04-12,10.0
Pd,2016-04-12,10.0
P2,2016-04-12,10.2
P3,2016-04-12,11.5
P4,2016-04-12,12.9
P5,2016-04-12,10.0
P7,2016-04-12,10.0
P1,2016-05-10,73.2
Pb,2016-05-10,
Pc,2016-05-10,
Pd,2016-05-10,
P2,2016-05-10,12.8
P3,2016-05-10,10.0
P4,2016-05-10,25.9
P5,2016-05-10,10.0
P7,2016-05-10,
P1,2016-06-07,31.8
Pb,2016-06-07,10.2
Pc,2016-06-07,10.0
Pd,2016-06-07,10.0
P2,2016-06-07,10.0
P3,2016-06-07,12.6
P4,2016-06-07,77.3
P5,2016-06-07,11.7
P7,2016-06-07,
P1,2016-07-12,17.0
Pb,2016-07-12,10.2
Pc,2016-07-12,10.0
Pd,2016-07-12,10.0
P2,2016-07-12,10.0
P3,2016-07-12,10.0
P4,2016-07-12,10.8
P5,2016-07-12,10.0
P7,2016-07-12,19.7
P1,2016-08-09,10.0
Pb,2016-08-09,10.0
Pc,2016-08-09,10.0
Pd,2016-08-09,10.0
P2,2016-08-09,10.0
P3,2016-08-09,10.0
P4,2016-08-09,10.0
P5,2016-08-09,10.0
P7,2016-08-09,
