ENTIDADE,DATA,coliformes
P1,2017-04-06,330000.0
P2,2017-04-06,40000.0
P3,2017-04-06,700.0
P4,2017-04-06,350000.0
P5,2017-04-06,320.0
P1,2017-05-11,390000.0
P2,2017-05-11,47000.0
P3,2017-05-11,1300.0
P4,2017-05-11,540000.0
P5,2017-05-11,700.0
P1,2017-06-08,1300000.0
P2,2017-06-08,22000.0
P3,2017-06-08,9200.0
P4,2017-06-08,7800.0
P5,2017-06-08,1300.0
P1,2017-07-13,790000.0
P2,2017-07-13,28000.0
P3,2017-07-13,5400.0
P4,2017-07-13,14000.0
P5,2017-07-13,1100.0
P1,2017-08-10,700000.0
P2,2017-08-10,17000.0
P3,2017-08-10,3500.0
P4,2017-08-10,1700.0
P5,2017-08-10,1300.0
P1,2017-09-14,940000.0
P2,2017-09-14,14000.0
P3,2017-09-14,2800.0
P4,2017-09-14,1400.0
P5,2017-09-14,1100.0
P1,2017-10-05,110000.0
P2,2017-10-05,17000.0
P3,2017-10-05,22000.0
P4,2017-10-05,1700.0
P5,2017-10-05,790.0
P1,2017-11-09,170000.0
P2,2017-11-09,11000.0
P3,2017-11-09,17000.0
P4,2017-11-09,1300.0
P5,2017-11-09,940.0
P1,2017-12-07,940000.0
P2,2017-12-07,14000.0
P3,2017-12-07,2800.0
P4,2017-12-07,1400.0
P5,2017-12-07,1100.0
P1,2018-01-11,230000.0
P2,2018-01-11,54000.0
P3,2018-01-11,11000.0
P4,2018-01-11,920000.0
P5,2018-01-11,220.00000000000003
P1,2018-02-08,330000.0
P2,2018-02-08,490.00000000000006
P3,2018-02-08,45.0
P4,2018-02-08,1600000.0
P5,2018-02-08,2000.0
P1,2018-03-08,220000.0
P2,2018-03-08,240000.0
P3,2018-03-08,140000.0
P4,2018-03-08,170000.0
P5,2018-03-08,390.0
P1,2018-04-19,540000.0
P2,2018-04-19,350000.0
P3,2018-04-19,330.0
P4,2018-04-19,9200000.0
P5,2018-04-19,270.0
P1,2018-05-11,490000.0
P2,2018-05-11,110000.0
P3,2018-05-11,490.0
P4,2018-05-11,230000.0
P5,2018-05-11,490.0
